net,length_um
clknet_leaf_93_clk,68.9
_0123_,68.465
_0539_,67.68
_0235_,67.645
clknet_leaf_46_clk,67.52
clknet_leaf_79_clk,67.36
_0111_,66.805
_0433_,66.78
clknet_leaf_42_clk,66.56
clknet_leaf_74_clk,66.48
_0376_,65.84
clknet_leaf_57_clk,64.96
clknet_leaf_43_clk,64.4
clknet_leaf_72_clk,63.12
clknet_leaf_88_clk,63
_0482_,62.82
_0333_,61.36
clknet_leaf_52_clk,61.08
_0460_,61
clknet_leaf_100_clk,60
_0254_,59.845
clknet_leaf_86_clk,59.8
clknet_leaf_66_clk,59.42
_0329_,58.18
clknet_leaf_78_clk,58.06
clknet_leaf_53_clk,57.98
_0322_,57.92
clknet_leaf_8_clk,57.78
clknet_leaf_13_clk,56.76
clknet_leaf_3_clk,55.18
clknet_leaf_77_clk,55.14
clknet_leaf_33_clk,53.26
clknet_leaf_68_clk,53.08
clknet_leaf_23_clk,53.02
_0307_,52.62
_0008_,52.305
clknet_leaf_56_clk,52.16
_0462_,51.92
clknet_leaf_37_clk,51.6
clknet_leaf_65_clk,51.36
clknet_leaf_97_clk,50.76
clknet_leaf_29_clk,49.98
clknet_leaf_99_clk,49.66
clknet_leaf_47_clk,48.56
clknet_leaf_83_clk,48.2
clknet_leaf_32_clk,48.06
clknet_leaf_82_clk,47.62
clknet_leaf_18_clk,46.42
clknet_leaf_15_clk,45.56
clknet_leaf_41_clk,45.36
clknet_leaf_84_clk,44.92
clknet_leaf_19_clk,44.72
_0155_,44.24
clknet_leaf_50_clk,44.22
_0546_,42.28
clknet_leaf_14_clk,41.92
clknet_leaf_38_clk,41.12
clknet_leaf_0_clk,40.84
clknet_leaf_63_clk,40.82
clknet_leaf_62_clk,39.36
clknet_leaf_59_clk,39.06
_0093_,39.02
clknet_leaf_94_clk,38.9
clknet_leaf_91_clk,38.14
_0207_,37.245
clknet_leaf_73_clk,37.22
clknet_leaf_22_clk,37.18
clknet_leaf_90_clk,37.1
clknet_leaf_60_clk,36.6
clknet_leaf_76_clk,36.18
clknet_leaf_11_clk,35.52
clknet_leaf_24_clk,35.2
clknet_leaf_20_clk,34.58
clknet_leaf_69_clk,33.5
clknet_leaf_26_clk,33.34
clknet_leaf_39_clk,32.96
_0052_,32.905
clknet_leaf_27_clk,32.16
clknet_leaf_54_clk,29.82
clknet_leaf_58_clk,29.4
clknet_leaf_2_clk,29.32
_0166_,28.36
_0197_,27.845
clknet_leaf_5_clk,27.06
clknet_leaf_6_clk,25.82
clknet_leaf_85_clk,24.64
clknet_leaf_48_clk,23.72
clknet_leaf_16_clk,21.62
clknet_leaf_89_clk,21.54
clknet_leaf_1_clk,20.92
clknet_leaf_25_clk,19.03
clknet_leaf_44_clk,18.58
clknet_leaf_31_clk,17.02
_0328_,13.5
_0522_,10.78
